[01/01/09 01:33:07.336] log started
[01/01/09 01:33:07.336] 	[ BusInterface ]
[01/01/09 01:33:07.336] 	cycle = 100
[01/01/09 01:33:07.336] 	device = 0
[01/01/09 01:33:07.336] 	flags = ad_b_10_v,ai_rse
[01/01/09 01:33:07.336] 	href = cin_pci_2,cin_pci_2_skt
[01/01/09 01:33:07.336] 	interface = daq2005|daq2006|daq2010|daq2016|daq2204|daq2205|daq2206|daq2208|daq2213|daq2214|daq2501|daq2502|PIO_DA
[01/01/09 01:33:07.336] 	log:path = 
[01/01/09 01:33:07.336] 	log:size = 
[01/01/09 01:33:07.336] 	log:type = 
[01/01/09 01:33:07.336] 	name = Analog I/O Bus
[01/01/09 01:33:07.337] 	sym = bus_daq_1
[01/01/09 01:33:07.337] 	type = daq2213
[01/01/09 01:33:07.337] 	vendor = ICPDAS,Adlink
[01/01/09 01:33:07.337] tid = 6423
[01/01/09 01:33:07.337] init: lock started
[01/01/09 01:33:07.337] init: locked
[01/01/09 01:33:07.475] d2k-dask init: type=10 id=0
[01/01/09 01:33:07.475] d2k-dask setup: input channel 2, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 3, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 4, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 5, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 0, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.476] d2k-dask setup: input channel 1, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.476] init: unlocked
[01/01/09 01:33:09.770] inVoltage 3 => -0.009460
[01/01/09 01:33:09.770] inVoltage 4 => 4.237366
[01/01/09 01:33:09.770] inVoltage 5 => 4.235840
[01/01/09 01:33:09.889] inVoltage 2 => -0.007019
[01/01/09 01:33:09.889] inVoltage 3 => -0.014038
[01/01/09 01:33:09.890] inVoltage 4 => 4.236450
[01/01/09 01:33:09.890] inVoltage 5 => 4.238892
[01/01/09 01:33:10.010] inVoltage 2 => -0.001831
[01/01/09 01:33:10.010] inVoltage 3 => -0.013733
[01/01/09 01:33:10.010] inVoltage 4 => 4.240723
[01/01/09 01:33:10.010] inVoltage 5 => 4.237671
[01/01/09 01:33:10.131] inVoltage 2 => -0.005493
[01/01/09 01:33:10.131] inVoltage 3 => -0.009155
[01/01/09 01:33:10.131] inVoltage 4 => 4.238892
[01/01/09 01:33:10.131] inVoltage 5 => 4.240112
[01/01/09 01:33:10.253] inVoltage 2 => -0.008545
[01/01/09 01:33:10.253] inVoltage 3 => -0.010376
[01/01/09 01:33:10.253] inVoltage 4 => 4.237671
[01/01/09 01:33:10.253] inVoltage 5 => 4.238586
[01/01/09 01:33:10.373] inVoltage 2 => -0.006104
[01/01/09 01:33:10.373] inVoltage 3 => -0.010986
[01/01/09 01:33:10.374] inVoltage 4 => 4.240112
[01/01/09 01:33:10.374] inVoltage 5 => 4.238586
[01/01/09 01:33:10.493] inVoltage 2 => -0.006409
[01/01/09 01:33:10.493] inVoltage 3 => -0.011292
[01/01/09 01:33:10.493] inVoltage 4 => 4.237366
[01/01/09 01:33:10.493] inVoltage 5 => 4.238892
[01/01/09 01:33:10.614] inVoltage 2 => -0.007324
[01/01/09 01:33:10.614] inVoltage 3 => -0.011597
[01/01/09 01:33:10.614] inVoltage 4 => 4.237061
[01/01/09 01:33:10.615] inVoltage 5 => 4.238586
[01/01/09 01:33:10.736] inVoltage 2 => -0.007019
[01/01/09 01:33:10.736] inVoltage 3 => -0.012817
[01/01/09 01:33:10.736] inVoltage 4 => 4.238281
[01/01/09 01:33:10.736] inVoltage 5 => 4.240417
[01/01/09 01:33:10.855] inVoltage 2 => -0.006714
[01/01/09 01:33:10.855] inVoltage 3 => -0.012512
[01/01/09 01:33:10.855] inVoltage 4 => 4.238281
[01/01/09 01:33:10.856] inVoltage 5 => 4.239197
[01/01/09 01:33:10.976] inVoltage 2 => -0.006409
[01/01/09 01:33:10.977] inVoltage 3 => -0.010986
[01/01/09 01:33:10.977] inVoltage 4 => 4.238281
[01/01/09 01:33:10.977] inVoltage 5 => 4.238281
[01/01/09 01:33:11.098] inVoltage 2 => -0.006409
[01/01/09 01:33:11.098] inVoltage 3 => -0.010681
[01/01/09 01:33:11.098] inVoltage 4 => 4.237366
[01/01/09 01:33:11.099] inVoltage 5 => 4.236755
[01/01/09 01:33:11.219] inVoltage 2 => -0.006104
[01/01/09 01:33:11.219] inVoltage 3 => -0.012207
[01/01/09 01:33:11.219] inVoltage 4 => 4.240112
[01/01/09 01:33:11.219] inVoltage 5 => 4.239502
[01/01/09 01:33:11.339] inVoltage 2 => -0.005493
[01/01/09 01:33:11.340] inVoltage 3 => -0.010071
[01/01/09 01:33:11.340] inVoltage 4 => 4.240417
[01/01/09 01:33:11.340] inVoltage 5 => 4.238586
[01/01/09 01:33:11.459] inVoltage 2 => -0.006104
[01/01/09 01:33:11.460] inVoltage 3 => -0.012207
[01/01/09 01:33:11.460] inVoltage 4 => 4.240112
[01/01/09 01:33:11.460] inVoltage 5 => 4.237976
[01/01/09 01:33:11.580] inVoltage 2 => -0.009766
[01/01/09 01:33:11.580] inVoltage 3 => -0.010071
[01/01/09 01:33:11.580] inVoltage 4 => 4.240112
[01/01/09 01:33:11.580] inVoltage 5 => 4.238281
[01/01/09 01:33:11.700] inVoltage 2 => -0.009766
[01/01/09 01:33:11.700] inVoltage 3 => -0.011597
[01/01/09 01:33:11.700] inVoltage 4 => 4.235840
[01/01/09 01:33:11.701] inVoltage 5 => 4.240723
[01/01/09 01:33:11.821] inVoltage 2 => -0.005493
[01/01/09 01:33:11.821] inVoltage 3 => -0.008240
[01/01/09 01:33:11.821] inVoltage 4 => 4.237671
[01/01/09 01:33:11.821] inVoltage 5 => 4.236755
[01/01/09 01:33:11.942] inVoltage 2 => -0.008545
[01/01/09 01:33:11.943] inVoltage 3 => -0.014038
[01/01/09 01:33:11.943] inVoltage 4 => 4.235840
[01/01/09 01:33:11.943] inVoltage 5 => 4.237061
[01/01/09 01:33:12.064] inVoltage 2 => -0.004272
[01/01/09 01:33:12.064] inVoltage 3 => -0.012512
[01/01/09 01:33:12.064] inVoltage 4 => 4.238892
[01/01/09 01:33:12.064] inVoltage 5 => 4.238892
[01/01/09 01:33:12.184] inVoltage 2 => -0.005798
[01/01/09 01:33:12.184] inVoltage 3 => -0.009460
[01/01/09 01:33:12.184] inVoltage 4 => 4.237366
[01/01/09 01:33:12.184] inVoltage 5 => 4.239502
[01/01/09 01:33:12.303] inVoltage 2 => -0.005798
[01/01/09 01:33:12.303] inVoltage 3 => -0.012207
[01/01/09 01:33:12.304] inVoltage 4 => 4.239502
[01/01/09 01:33:12.304] inVoltage 5 => 4.240417
[01/01/09 01:33:12.424] inVoltage 2 => -0.009766
[01/01/09 01:33:12.424] inVoltage 3 => -0.009766
[01/01/09 01:33:12.424] inVoltage 4 => 4.237061
[01/01/09 01:33:12.424] inVoltage 5 => 4.238586
[01/01/09 01:33:12.545] inVoltage 2 => -0.007019
[01/01/09 01:33:12.545] inVoltage 3 => -0.009766
[01/01/09 01:33:12.545] inVoltage 4 => 4.238586
[01/01/09 01:33:12.545] inVoltage 5 => 4.237671
[01/01/09 01:33:12.665] inVoltage 2 => -0.007629
[01/01/09 01:33:12.665] inVoltage 3 => -0.011597
[01/01/09 01:33:12.665] inVoltage 4 => 4.235840
[01/01/09 01:33:12.665] inVoltage 5 => 4.236450
[01/01/09 01:33:12.786] inVoltage 2 => -0.006714
[01/01/09 01:33:12.786] inVoltage 3 => -0.011597
[01/01/09 01:33:12.786] inVoltage 4 => 4.238281
[01/01/09 01:33:12.786] inVoltage 5 => 4.238281
[01/01/09 01:33:12.906] inVoltage 2 => -0.008850
[01/01/09 01:33:12.907] inVoltage 3 => -0.010681
[01/01/09 01:33:12.907] inVoltage 4 => 4.238586
[01/01/09 01:33:12.907] inVoltage 5 => 4.241333
[01/01/09 01:33:13.026] inVoltage 2 => -0.004883
[01/01/09 01:33:13.027] inVoltage 3 => -0.014038
[01/01/09 01:33:13.027] inVoltage 4 => 4.237671
[01/01/09 01:33:13.027] inVoltage 5 => 4.238892
[01/01/09 01:33:13.147] inVoltage 2 => -0.010376
[01/01/09 01:33:13.147] inVoltage 3 => -0.008240
[01/01/09 01:33:13.147] inVoltage 4 => 4.237671
[01/01/09 01:33:13.147] inVoltage 5 => 4.240723
[01/01/09 01:33:13.268] inVoltage 2 => -0.008545
[01/01/09 01:33:13.268] inVoltage 3 => -0.011597
[01/01/09 01:33:13.268] inVoltage 4 => 4.238281
[01/01/09 01:33:13.268] inVoltage 5 => 4.238892
[01/01/09 01:33:13.389] inVoltage 2 => -0.005188
[01/01/09 01:33:13.389] inVoltage 3 => -0.010376
[01/01/09 01:33:13.389] inVoltage 4 => 4.235840
[01/01/09 01:33:13.389] inVoltage 5 => 4.238892
[01/01/09 01:33:13.509] inVoltage 2 => -0.005188
[01/01/09 01:33:13.509] inVoltage 3 => -0.008850
[01/01/09 01:33:13.509] inVoltage 4 => 4.235840
[01/01/09 01:33:13.509] inVoltage 5 => 4.237671
[01/01/09 01:33:13.630] inVoltage 2 => -0.007324
[01/01/09 01:33:13.630] inVoltage 3 => -0.011902
[01/01/09 01:33:13.630] inVoltage 4 => 4.237671
[01/01/09 01:33:13.630] inVoltage 5 => 4.234619
[01/01/09 01:33:13.750] inVoltage 2 => -0.007019
[01/01/09 01:33:13.750] inVoltage 3 => -0.009766
[01/01/09 01:33:13.750] inVoltage 4 => 4.239197
[01/01/09 01:33:13.750] inVoltage 5 => 4.238586
[01/01/09 01:33:13.870] inVoltage 2 => -0.006409
[01/01/09 01:33:13.870] inVoltage 3 => -0.011292
[01/01/09 01:33:13.870] inVoltage 4 => 4.237366
[01/01/09 01:33:13.870] inVoltage 5 => 4.238892
[01/01/09 01:33:13.990] inVoltage 2 => -0.004883
[01/01/09 01:33:13.990] inVoltage 3 => -0.012512
[01/01/09 01:33:13.990] inVoltage 4 => 4.237671
[01/01/09 01:33:13.991] inVoltage 5 => 4.237061
[01/01/09 01:33:14.111] inVoltage 2 => -0.001221
[01/01/09 01:33:14.111] inVoltage 3 => -0.010681
[01/01/09 01:33:14.111] inVoltage 4 => 4.239197
[01/01/09 01:33:14.111] inVoltage 5 => 4.238281
[01/01/09 01:33:14.232] inVoltage 2 => -0.006714
[01/01/09 01:33:14.232] inVoltage 3 => -0.007935
[01/01/09 01:33:14.232] inVoltage 4 => 4.238586
[01/01/09 01:33:14.232] inVoltage 5 => 4.237671
[01/01/09 01:33:14.352] inVoltage 2 => -0.006409
[01/01/09 01:33:14.352] inVoltage 3 => -0.010376
[01/01/09 01:33:14.353] inVoltage 4 => 4.239502
[01/01/09 01:33:14.353] inVoltage 5 => 4.239197
[01/01/09 01:33:14.474] inVoltage 2 => -0.005188
[01/01/09 01:33:14.474] inVoltage 3 => -0.012207
[01/01/09 01:33:14.474] inVoltage 4 => 4.238586
[01/01/09 01:33:14.474] inVoltage 5 => 4.234314
[01/01/09 01:33:14.596] inVoltage 2 => -0.003967
[01/01/09 01:33:14.596] inVoltage 3 => -0.009766
[01/01/09 01:33:14.596] inVoltage 4 => 4.238892
[01/01/09 01:33:14.596] inVoltage 5 => 4.239502
[01/01/09 01:33:14.716] inVoltage 2 => -0.003967
[01/01/09 01:33:14.716] inVoltage 3 => -0.010986
[01/01/09 01:33:14.716] inVoltage 4 => 4.238892
[01/01/09 01:33:14.716] inVoltage 5 => 4.239197
[01/01/09 01:33:14.836] inVoltage 2 => -0.004578
[01/01/09 01:33:14.836] inVoltage 3 => -0.009155
[01/01/09 01:33:14.836] inVoltage 4 => 4.238586
[01/01/09 01:33:14.836] inVoltage 5 => 4.232178
[01/01/09 01:33:14.957] inVoltage 2 => -0.005188
[01/01/09 01:33:14.958] inVoltage 3 => -0.011597
[01/01/09 01:33:14.958] inVoltage 4 => 4.238281
[01/01/09 01:33:14.958] inVoltage 5 => 4.238281
[01/01/09 01:33:15.078] inVoltage 2 => -0.006714
[01/01/09 01:33:15.078] inVoltage 3 => -0.007935
[01/01/09 01:33:15.078] inVoltage 4 => 4.242554
[01/01/09 01:33:15.078] inVoltage 5 => 4.239502
[01/01/09 01:33:15.199] inVoltage 2 => -0.004578
[01/01/09 01:33:15.199] inVoltage 3 => -0.008545
[01/01/09 01:33:15.199] inVoltage 4 => 4.237366
[01/01/09 01:33:15.199] inVoltage 5 => 4.240723
[01/01/09 01:33:15.319] inVoltage 2 => -0.006104
[01/01/09 01:33:15.319] inVoltage 3 => -0.009460
[01/01/09 01:33:15.319] inVoltage 4 => 4.235229
[01/01/09 01:33:15.320] inVoltage 5 => 4.238586
[01/01/09 01:33:15.440] inVoltage 2 => -0.006104
[01/01/09 01:33:15.440] inVoltage 3 => -0.012512
[01/01/09 01:33:15.440] inVoltage 4 => 4.239197
[01/01/09 01:33:15.440] inVoltage 5 => 4.236755
[01/01/09 01:33:15.560] inVoltage 2 => -0.006714
[01/01/09 01:33:15.560] inVoltage 3 => -0.010681
[01/01/09 01:33:15.560] inVoltage 4 => 4.238586
[01/01/09 01:33:15.560] inVoltage 5 => 4.238892
[01/01/09 01:33:15.680] inVoltage 2 => -0.004578
[01/01/09 01:33:15.680] inVoltage 3 => -0.007019
[01/01/09 01:33:15.681] inVoltage 4 => 4.238281
[01/01/09 01:33:15.681] inVoltage 5 => 4.237976
[01/01/09 01:33:15.801] inVoltage 2 => -0.007019
[01/01/09 01:33:15.801] inVoltage 3 => -0.010986
[01/01/09 01:33:15.801] inVoltage 4 => 4.238892
[01/01/09 01:33:15.801] inVoltage 5 => 4.239807
[01/01/09 01:33:15.921] inVoltage 2 => -0.005798
[01/01/09 01:33:15.921] inVoltage 3 => -0.012512
[01/01/09 01:33:15.921] inVoltage 4 => 4.238281
[01/01/09 01:33:15.921] inVoltage 5 => 4.235229
[01/01/09 01:33:16.042] inVoltage 2 => -0.007019
[01/01/09 01:33:16.042] inVoltage 3 => -0.013428
[01/01/09 01:33:16.042] inVoltage 4 => 4.238281
[01/01/09 01:33:16.042] inVoltage 5 => 4.240112
[01/01/09 01:33:16.163] inVoltage 2 => -0.007324
[01/01/09 01:33:16.163] inVoltage 3 => -0.009155
[01/01/09 01:33:16.163] inVoltage 4 => 4.238586
[01/01/09 01:33:16.163] inVoltage 5 => 4.238281
[01/01/09 01:33:16.283] inVoltage 2 => -0.007324
[01/01/09 01:33:16.284] inVoltage 3 => -0.008545
[01/01/09 01:33:16.284] inVoltage 4 => 4.238281
[01/01/09 01:33:16.284] inVoltage 5 => 4.237366
[01/01/09 01:33:16.405] inVoltage 2 => -0.005188
[01/01/09 01:33:16.405] inVoltage 3 => -0.007935
[01/01/09 01:33:16.405] inVoltage 4 => 4.238586
[01/01/09 01:33:16.405] inVoltage 5 => 4.240112
[01/01/09 01:33:16.526] inVoltage 2 => -0.008850
[01/01/09 01:33:16.526] inVoltage 3 => -0.012817
[01/01/09 01:33:16.526] inVoltage 4 => 4.238281
[01/01/09 01:33:16.526] inVoltage 5 => 4.238892
[01/01/09 01:33:16.646] inVoltage 2 => -0.004272
[01/01/09 01:33:16.646] inVoltage 3 => -0.010986
[01/01/09 01:33:16.647] inVoltage 4 => 4.238281
[01/01/09 01:33:16.647] inVoltage 5 => 4.238892
[01/01/09 01:33:16.767] inVoltage 2 => -0.008850
[01/01/09 01:33:16.767] inVoltage 3 => -0.013428
[01/01/09 01:33:16.767] inVoltage 4 => 4.236755
[01/01/09 01:33:16.767] inVoltage 5 => 4.238892
[01/01/09 01:33:16.888] inVoltage 2 => -0.006104
[01/01/09 01:33:16.888] inVoltage 3 => -0.013428
[01/01/09 01:33:16.888] inVoltage 4 => 4.236755
[01/01/09 01:33:16.888] inVoltage 5 => 4.238586
[01/01/09 01:33:17.009] inVoltage 2 => -0.005188
[01/01/09 01:33:17.009] inVoltage 3 => -0.007324
[01/01/09 01:33:17.009] inVoltage 4 => 4.236755
[01/01/09 01:33:17.009] inVoltage 5 => 4.239502
[01/01/09 01:33:17.129] inVoltage 2 => -0.007324
[01/01/09 01:33:17.129] inVoltage 3 => -0.010986
[01/01/09 01:33:17.129] inVoltage 4 => 4.237061
[01/01/09 01:33:17.129] inVoltage 5 => 4.238281
[01/01/09 01:33:17.249] inVoltage 2 => 0.000000
[01/01/09 01:33:17.249] inVoltage 3 => -0.013123
[01/01/09 01:33:17.250] inVoltage 4 => 4.238892
[01/01/09 01:33:17.250] inVoltage 5 => 4.238281
[01/01/09 01:33:17.370] inVoltage 2 => -0.006714
[01/01/09 01:33:17.370] inVoltage 3 => -0.011597
[01/01/09 01:33:17.370] inVoltage 4 => 4.238586
[01/01/09 01:33:17.370] inVoltage 5 => 4.239807
[01/01/09 01:33:17.491] inVoltage 2 => -0.007019
[01/01/09 01:33:17.491] inVoltage 3 => -0.009155
[01/01/09 01:33:17.491] inVoltage 4 => 4.239502
[01/01/09 01:33:17.491] inVoltage 5 => 4.239197
[01/01/09 01:33:17.612] inVoltage 2 => -0.005493
[01/01/09 01:33:17.612] inVoltage 3 => -0.009766
[01/01/09 01:33:17.612] inVoltage 4 => 4.237366
[01/01/09 01:33:17.612] inVoltage 5 => 4.238281
[01/01/09 01:33:17.732] inVoltage 2 => -0.006409
[01/01/09 01:33:17.732] inVoltage 3 => -0.011597
[01/01/09 01:33:17.732] inVoltage 4 => 4.238892
[01/01/09 01:33:17.732] inVoltage 5 => 4.240112
[01/01/09 01:33:17.852] inVoltage 2 => -0.006409
[01/01/09 01:33:17.853] inVoltage 3 => -0.014343
[01/01/09 01:33:17.853] inVoltage 4 => 4.239502
