[01/01/09 01:30:23.971] log started
[01/01/09 01:30:23.971] 	[ BusInterface ]
[01/01/09 01:30:23.971] 	cycle = 100
[01/01/09 01:30:23.971] 	device = 0
[01/01/09 01:30:23.971] 	flags = ad_b_10_v,ai_rse
[01/01/09 01:30:23.972] 	href = cin_pci_2,cin_pci_2_skt
[01/01/09 01:30:23.972] 	interface = daq2005|daq2006|daq2010|daq2016|daq2204|daq2205|daq2206|daq2208|daq2213|daq2214|daq2501|daq2502|PIO_DA
[01/01/09 01:30:23.972] 	log:path = 
[01/01/09 01:30:23.972] 	log:size = 
[01/01/09 01:30:23.972] 	log:type = 
[01/01/09 01:30:23.972] 	name = Analog I/O Bus
[01/01/09 01:30:23.972] 	sym = bus_daq_1
[01/01/09 01:30:23.972] 	type = daq2213
[01/01/09 01:30:23.972] 	vendor = ICPDAS,Adlink
[01/01/09 01:30:23.972] tid = 4221
[01/01/09 01:30:23.972] init: lock started
[01/01/09 01:30:23.972] init: locked
[01/01/09 01:30:24.108] d2k-dask init: type=10 id=0
[01/01/09 01:30:24.108] d2k-dask setup: input channel 2, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.108] d2k-dask setup: input channel 3, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.108] d2k-dask setup: input channel 4, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 5, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 0, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] d2k-dask setup: input channel 1, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:30:24.109] init: unlocked
[01/01/09 01:30:26.399] inVoltage 3 => -0.009155
[01/01/09 01:30:26.399] inVoltage 4 => 4.240112
[01/01/09 01:30:26.399] inVoltage 5 => 4.239807
[01/01/09 01:30:26.519] inVoltage 2 => -0.002441
[01/01/09 01:30:26.519] inVoltage 3 => -0.012207
[01/01/09 01:30:26.519] inVoltage 4 => 4.240112
[01/01/09 01:30:26.519] inVoltage 5 => 4.240723
[01/01/09 01:30:26.639] inVoltage 2 => -0.004578
[01/01/09 01:30:26.639] inVoltage 3 => -0.006409
[01/01/09 01:30:26.639] inVoltage 4 => 4.237366
[01/01/09 01:30:26.639] inVoltage 5 => 4.238586
[01/01/09 01:30:26.759] inVoltage 2 => -0.001221
[01/01/09 01:30:26.759] inVoltage 3 => -0.006714
[01/01/09 01:30:26.759] inVoltage 4 => 4.240112
[01/01/09 01:30:26.760] inVoltage 5 => 4.238892
[01/01/09 01:30:26.880] inVoltage 2 => -0.001831
[01/01/09 01:30:26.880] inVoltage 3 => -0.005493
[01/01/09 01:30:26.880] inVoltage 4 => 4.239502
[01/01/09 01:30:26.880] inVoltage 5 => 4.240112
[01/01/09 01:30:27.001] inVoltage 2 => -0.003967
[01/01/09 01:30:27.001] inVoltage 3 => -0.006409
[01/01/09 01:30:27.001] inVoltage 4 => 4.241333
[01/01/09 01:30:27.002] inVoltage 5 => 4.238892
[01/01/09 01:30:27.122] inVoltage 2 => -0.003052
[01/01/09 01:30:27.122] inVoltage 3 => -0.003662
[01/01/09 01:30:27.122] inVoltage 4 => 4.240723
[01/01/09 01:30:27.122] inVoltage 5 => 4.239502
[01/01/09 01:30:27.243] inVoltage 2 => -0.003052
[01/01/09 01:30:27.243] inVoltage 3 => -0.005798
[01/01/09 01:30:27.243] inVoltage 4 => 4.238892
[01/01/09 01:30:27.243] inVoltage 5 => 4.240417
[01/01/09 01:30:27.363] inVoltage 2 => -0.003357
[01/01/09 01:30:27.363] inVoltage 3 => -0.008850
[01/01/09 01:30:27.363] inVoltage 4 => 4.240112
[01/01/09 01:30:27.363] inVoltage 5 => 4.239197
[01/01/09 01:30:27.484] inVoltage 2 => -0.001831
[01/01/09 01:30:27.484] inVoltage 3 => -0.007019
[01/01/09 01:30:27.484] inVoltage 4 => 4.240417
[01/01/09 01:30:27.485] inVoltage 5 => 4.242859
[01/01/09 01:30:27.604] inVoltage 2 => -0.004883
[01/01/09 01:30:27.604] inVoltage 3 => -0.008240
[01/01/09 01:30:27.605] inVoltage 4 => 4.241333
[01/01/09 01:30:27.605] inVoltage 5 => 4.242554
[01/01/09 01:30:27.725] inVoltage 2 => -0.003357
[01/01/09 01:30:27.725] inVoltage 3 => -0.007324
[01/01/09 01:30:27.725] inVoltage 4 => 4.242249
[01/01/09 01:30:27.725] inVoltage 5 => 4.240723
[01/01/09 01:30:27.846] inVoltage 2 => -0.001831
[01/01/09 01:30:27.846] inVoltage 3 => -0.004883
[01/01/09 01:30:27.846] inVoltage 4 => 4.241333
[01/01/09 01:30:27.846] inVoltage 5 => 4.238586
[01/01/09 01:30:27.966] inVoltage 2 => -0.000916
[01/01/09 01:30:27.966] inVoltage 3 => -0.008850
[01/01/09 01:30:27.966] inVoltage 4 => 4.241333
[01/01/09 01:30:27.966] inVoltage 5 => 4.241638
[01/01/09 01:30:28.086] inVoltage 2 => -0.001221
[01/01/09 01:30:28.086] inVoltage 3 => -0.008545
[01/01/09 01:30:28.086] inVoltage 4 => 4.239502
[01/01/09 01:30:28.086] inVoltage 5 => 4.241943
[01/01/09 01:30:28.206] inVoltage 2 => -0.000610
[01/01/09 01:30:28.206] inVoltage 3 => -0.008545
[01/01/09 01:30:28.207] inVoltage 4 => 4.239197
[01/01/09 01:30:28.207] inVoltage 5 => 4.241638
[01/01/09 01:30:28.327] inVoltage 2 => -0.004272
[01/01/09 01:30:28.327] inVoltage 3 => -0.003052
[01/01/09 01:30:28.327] inVoltage 4 => 4.241333
[01/01/09 01:30:28.327] inVoltage 5 => 4.242249
[01/01/09 01:30:28.447] inVoltage 2 => -0.001831
[01/01/09 01:30:28.447] inVoltage 3 => -0.004883
[01/01/09 01:30:28.447] inVoltage 4 => 4.241943
[01/01/09 01:30:28.448] inVoltage 5 => 4.242249
[01/01/09 01:30:28.568] inVoltage 2 => -0.003357
[01/01/09 01:30:28.568] inVoltage 3 => -0.004883
[01/01/09 01:30:28.568] inVoltage 4 => 4.240723
[01/01/09 01:30:28.568] inVoltage 5 => 4.245605
[01/01/09 01:30:28.688] inVoltage 2 => -0.004883
[01/01/09 01:30:28.688] inVoltage 3 => -0.007629
[01/01/09 01:30:28.689] inVoltage 4 => 4.241333
[01/01/09 01:30:28.689] inVoltage 5 => 4.241638
[01/01/09 01:30:28.807] inVoltage 2 => -0.002441
[01/01/09 01:30:28.807] inVoltage 3 => -0.004272
[01/01/09 01:30:28.808] inVoltage 4 => 4.238892
[01/01/09 01:30:28.808] inVoltage 5 => 4.241638
[01/01/09 01:30:28.928] inVoltage 2 => 0.000916
[01/01/09 01:30:28.928] inVoltage 3 => -0.004883
[01/01/09 01:30:28.928] inVoltage 4 => 4.240723
[01/01/09 01:30:28.929] inVoltage 5 => 4.241333
[01/01/09 01:30:29.049] inVoltage 2 => -0.003662
[01/01/09 01:30:29.049] inVoltage 3 => -0.007324
[01/01/09 01:30:29.050] inVoltage 4 => 4.239502
[01/01/09 01:30:29.050] inVoltage 5 => 4.240723
[01/01/09 01:30:29.170] inVoltage 2 => -0.000305
[01/01/09 01:30:29.170] inVoltage 3 => -0.006409
[01/01/09 01:30:29.170] inVoltage 4 => 4.240723
[01/01/09 01:30:29.170] inVoltage 5 => 4.241333
[01/01/09 01:30:29.290] inVoltage 2 => -0.001221
[01/01/09 01:30:29.290] inVoltage 3 => -0.007019
[01/01/09 01:30:29.291] inVoltage 4 => 4.240417
[01/01/09 01:30:29.291] inVoltage 5 => 4.238281
[01/01/09 01:30:29.412] inVoltage 2 => -0.002441
[01/01/09 01:30:29.412] inVoltage 3 => -0.009766
[01/01/09 01:30:29.412] inVoltage 4 => 4.239807
[01/01/09 01:30:29.412] inVoltage 5 => 4.241333
[01/01/09 01:30:29.533] inVoltage 2 => -0.000610
[01/01/09 01:30:29.533] inVoltage 3 => -0.006714
[01/01/09 01:30:29.533] inVoltage 4 => 4.239807
[01/01/09 01:30:29.533] inVoltage 5 => 4.239807
[01/01/09 01:30:29.654] inVoltage 2 => -0.004883
